0,0.45606,-1.204
1,0.38824,-1.211
2,0.34990,-1.220
3,0.36248,-1.228
4,0.35574,-1.236
5,0.36620,-1.240
6,0.37304,-1.247
7,0.36598,-1.253
8,0.35389,-1.257
9,0.31992,-1.264
10,0.36050,-1.271
11,0.31957,-1.275
12,0.33124,-1.280
13,0.34923,-1.283
14,0.34150,-1.288
15,0.34608,-1.295
16,0.36945,-1.301
17,0.36882,-1.307
18,0.34973,-1.314
19,0.33281,-1.320
20,0.34197,-1.324
21,0.35032,-1.329
22,0.36766,-1.333
23,0.36692,-1.340
24,0.36169,-1.348
25,0.33741,-1.352
26,0.37991,-1.357
27,0.33609,-1.362
28,0.35095,-1.368
29,0.34998,-1.374
30,0.36650,-1.381
31,0.35765,-1.386
32,0.35950,-1.391
33,0.35379,-1.395
34,0.35704,-1.399
35,0.34001,-1.405
36,0.33510,-1.410
37,0.32868,-1.411
38,0.34759,-1.414
39,0.31962,-1.420
40,0.31512,-1.424
41,0.31018,-1.428
42,0.30657,-1.435
43,0.29470,-1.441
44,0.31958,-1.447
45,0.29612,-1.453
46,0.28642,-1.459
47,0.27954,-1.463
48,0.29723,-1.469
49,0.28726,-1.473
50,0.29365,-1.476
51,0.27631,-1.481
52,0.28578,-1.488
53,0.27564,-1.493
54,0.26757,-1.500
55,0.27945,-1.504
56,0.26257,-1.510
57,0.25937,-1.519
58,0.25793,-1.526
59,0.26829,-1.533
60,0.26991,-1.538
61,0.23009,-1.544
62,0.25955,-1.550
63,0.24500,-1.556
64,0.26148,-1.561
65,0.24883,-1.566
66,0.25789,-1.573
67,0.22942,-1.580
68,0.24816,-1.586
69,0.24335,-1.590
70,0.23342,-1.594
71,0.24859,-1.599
72,0.24271,-1.603
73,0.23072,-1.606
74,0.21891,-1.611
75,0.25448,-1.616
76,0.23073,-1.621
77,0.22389,-1.624
78,0.23874,-1.626
79,0.23953,-1.630
80,0.29913,-1.637
81,0.23694,-1.642
82,0.22396,-1.664
83,0.23687,-1.677
84,0.22581,-1.689
85,0.24099,-1.700
86,0.24388,-1.711
87,0.24183,-1.727
88,0.24708,-1.735
89,0.23779,-1.745
90,0.25508,-1.756
91,0.22560,-1.759
92,0.25039,-1.767
93,0.26013,-1.779
94,0.24398,-1.790
95,0.23494,-1.799
96,0.26597,-1.809
97,0.25731,-1.816
98,0.25124,-1.827
99,0.24119,-1.833
100,0.22902,-1.838
101,0.23998,-1.847
102,0.24182,-1.854
103,0.24690,-1.859
104,0.25276,-1.864
105,0.24455,-1.870
106,0.25439,-1.879
107,0.24280,-1.886
108,0.25097,-1.889
109,0.25440,-1.893
110,0.26956,-1.902
111,0.26422,-1.911
112,0.27483,-1.915
113,0.26552,-1.918
114,0.26780,-1.923
115,0.26010,-1.928
116,0.26369,-1.931
117,0.25127,-1.932
118,0.27802,-1.938
119,0.26398,-1.944
120,0.25233,-1.948
121,0.25350,-1.951
122,0.26463,-1.957
123,0.26334,-1.959
124,0.27536,-1.964
125,0.27006,-1.969
126,0.25581,-1.977
127,0.25023,-1.985
128,0.26066,-1.991
129,0.26512,-1.992
130,0.27480,-1.995
131,0.25940,-2.002
132,0.27942,-2.004
133,0.27221,-2.006
134,0.25812,-2.011
135,0.26984,-2.014
136,0.26242,-2.020
137,0.26110,-2.028
138,0.26263,-2.034
139,0.27283,-2.041
140,0.27927,-2.045
141,0.23733,-2.051
142,0.27128,-2.058
143,0.26949,-2.066
144,0.27865,-2.071
145,0.26827,-2.077
146,0.28271,-2.086
147,0.26143,-2.093
148,0.27764,-2.098
149,0.27163,-2.102
150,0.26425,-2.106
151,0.28093,-2.110
152,0.27411,-2.112
153,0.25932,-2.114
154,0.24507,-2.120
155,0.28540,-2.121
156,0.26493,-2.123
157,0.25607,-2.123
158,0.26758,-2.124
159,0.27762,-2.125
