0,1.22786,-1.207
1,1.07676,-1.214
2,0.91135,-1.222
3,1.08292,-1.230
4,1.17058,-1.236
5,1.30714,-1.241
6,1.34660,-1.247
7,1.20652,-1.254
8,1.21957,-1.261
9,0.90616,-1.268
10,1.25608,-1.274
11,1.03517,-1.280
12,1.18277,-1.286
13,1.24821,-1.291
14,1.00764,-1.298
15,1.00402,-1.306
16,1.28965,-1.313
17,1.13799,-1.319
18,1.06224,-1.325
19,0.93403,-1.331
20,0.93742,-1.336
21,0.90249,-1.343
22,0.95356,-1.350
23,1.15319,-1.356
24,1.05504,-1.362
25,0.91321,-1.367
26,1.01265,-1.373
27,0.84416,-1.379
28,0.83933,-1.387
29,0.90579,-1.393
30,0.98217,-1.399
31,0.97995,-1.404
32,0.91336,-1.410
33,0.82688,-1.416
34,0.81777,-1.421
35,0.81141,-1.427
36,0.74475,-1.432
37,0.58342,-1.437
38,0.72092,-1.443
39,0.63249,-1.450
40,0.67486,-1.455
41,0.51900,-1.462
42,0.56752,-1.468
43,0.46562,-1.475
44,0.49956,-1.482
45,0.49888,-1.487
46,0.45683,-1.491
47,0.44886,-1.496
48,0.44105,-1.503
49,0.41485,-1.509
50,0.38331,-1.515
51,0.40513,-1.522
52,0.40513,-1.528
53,0.35943,-1.534
54,0.35596,-1.540
55,0.37590,-1.545
56,0.32469,-1.550
57,0.31564,-1.557
58,0.28240,-1.564
59,0.31189,-1.571
60,0.29535,-1.577
61,0.24201,-1.584
62,0.27567,-1.591
63,0.27835,-1.598
64,0.29108,-1.604
65,0.27829,-1.611
66,0.30388,-1.618
67,0.27768,-1.625
68,0.29516,-1.630
69,0.29296,-1.636
70,0.31269,-1.642
71,0.28380,-1.648
72,0.28282,-1.654
73,0.25896,-1.659
74,0.25048,-1.665
75,0.28652,-1.670
76,0.26416,-1.675
77,0.25495,-1.679
78,0.27328,-1.686
79,0.27510,-1.692
80,0.50569,-1.721
81,0.28301,-1.751
82,0.25410,-1.771
83,0.28057,-1.790
84,0.28390,-1.807
85,0.34787,-1.827
86,0.27683,-1.847
87,0.26780,-1.864
88,0.27806,-1.878
89,0.26491,-1.888
90,0.33896,-1.898
91,0.25684,-1.904
92,0.27852,-1.911
93,0.30027,-1.921
94,0.27810,-1.927
95,0.27737,-1.938
96,0.41620,-1.947
97,0.31614,-1.955
98,0.27413,-1.964
99,0.26032,-1.972
100,0.24582,-1.981
101,0.26080,-1.987
102,0.26438,-1.993
103,0.26204,-1.999
104,0.26931,-2.006
105,0.25981,-2.013
106,0.26980,-2.022
107,0.26475,-2.027
108,0.26416,-2.033
109,0.26660,-2.036
110,0.28526,-2.046
111,0.28694,-2.053
112,0.29499,-2.056
113,0.30059,-2.061
114,0.29146,-2.068
115,0.27271,-2.073
116,0.27489,-2.077
117,0.26315,-2.082
118,0.29122,-2.086
119,0.31203,-2.090
120,0.26966,-2.094
121,0.26341,-2.100
122,0.27439,-2.106
123,0.27666,-2.115
124,0.28614,-2.124
125,0.28889,-2.131
126,0.26915,-2.138
127,0.26163,-2.143
128,0.27297,-2.151
129,0.27973,-2.159
130,0.28817,-2.163
131,0.27202,-2.171
132,0.29690,-2.176
133,0.28494,-2.178
134,0.27787,-2.181
135,0.28358,-2.186
136,0.27422,-2.189
137,0.27425,-2.197
138,0.27514,-2.203
139,0.28684,-2.207
140,0.29238,-2.212
141,0.24780,-2.219
142,0.28404,-2.226
143,0.28357,-2.233
144,0.29147,-2.239
145,0.28088,-2.245
146,0.29724,-2.253
147,0.27440,-2.260
148,0.29048,-2.266
149,0.28369,-2.272
150,0.27729,-2.279
151,0.29318,-2.283
152,0.28889,-2.288
153,0.27151,-2.293
154,0.25826,-2.297
155,0.29842,-2.300
156,0.27762,-2.302
157,0.26743,-2.303
158,0.27938,-2.310
159,0.29016,-2.316
