global_step,J_or_return,gain_or_actnorm,logstd
327680,728.885775293942,1.1724985059261321,-1.1076947450637817
655360,1271.1206347696957,1.5134503110647202,-1.5879420042037964
983040,1695.317583152196,1.9915425803661346,-1.705519199371338
1310720,1871.7847472855494,2.032405859851837,-1.810572624206543
1638400,1854.8795023784726,1.9565355589866638,-1.8401890993118286
1966080,1800.054120915201,1.9667469360351562,-1.8151639699935913
2293760,1647.5049868568015,1.958477886581421,-1.8670727014541626
2621440,1860.5556652080697,2.079082702922821,-1.829369068145752
2949120,2158.0269806331003,1.9666906687259673,-1.7756142616271973
3276800,2102.087853930946,1.7846617665290831,-1.8538398742675781
3604480,2094.199566903256,1.791002090358734,-1.8734960556030273
3932160,2147.1563885820187,1.6088662645816802,-1.9205150604248047
4259840,2015.2061611866982,1.6637827531814575,-1.9611082077026367
4587520,1659.142672512143,1.6161152905464173,-2.003669023513794
4915200,2078.204034343591,1.5893202513694764,-2.0324766635894775
5242880,1971.7870029816654,1.7974554199695587,-2.0352914333343506
5570560,2067.845040913523,1.7592771312236786,-2.0601837635040283
5898240,1742.8262616507461,1.874144644021988,-2.042694330215454
6225920,2025.1308266732171,1.6361915986537934,-2.060352325439453
6553600,2128.9431534452497,1.6527165822029113,-2.0738232135772705
6881280,2271.8962242069097,1.6762370028495788,-2.098109245300293
7208960,2356.555104948446,1.6216889129638672,-2.087730884552002
7536640,2494.2309965941095,1.7202764234542847,-2.122368335723877
7864320,2445.7115979127,1.7428290085315705,-2.1437695026397705
8192000,2298.1969682728795,1.767739966583252,-2.187244415283203
8519680,2278.131319080898,1.8496316662311554,-2.189634323120117
8847360,2401.401932185408,1.85678005566597,-2.2023069858551025
9175040,2455.8131673701287,1.8765603258132935,-2.234675645828247
9502720,2399.5804516840503,1.9222566514015198,-2.2388155460357666
9830400,2220.7045601457817,1.8749016290664673,-2.245870351791382
