global_step,J_or_return,gain_or_actnorm,logstd
327680,0.2811277323912292,0.6988323852248349,-1.3964306116104126
655360,0.22934043762154316,1.127577952238834,-2.0005807876586914
983040,0.2216878077047086,1.6424896004817826,-2.283184289932251
1310720,0.21674296916716002,2.1829533828713337,-2.4543187618255615
1638400,0.21640733207564497,2.1378690138193392,-2.6129846572875977
1966080,0.2165692057590572,2.4382335646898516,-2.780365467071533
2293760,0.21578908601217547,2.463948583146523,-2.873572826385498
2621440,0.21603078061604983,2.420577854227167,-2.9641082286834717
2949120,0.21669442697028532,2.391110260377877,-3.085350751876831
3276800,0.21679695466280605,2.303469414673329,-3.1956112384796143
3604480,0.21691295704255203,2.294435974414377,-3.3168506622314453
3932160,0.2170863760737242,2.42247837827609,-3.372299909591675
4259840,0.2175574789328262,2.382011369284384,-3.523399829864502
4587520,0.21800504725342765,2.531653094471564,-3.6241769790649414
4915200,0.2183925018824403,2.621183271080193,-3.713731050491333
5242880,0.2184083645277143,2.7333823549744407,-3.8084654808044434
5570560,0.21854133284365954,2.7431836492534742,-3.8835034370422363
5898240,0.2189733840991566,2.845533003860205,-3.9329864978790283
6225920,0.21901452512967914,2.889227762712736,-4.009973526000977
6553600,0.21885679718220372,2.8044460597332486,-4.060314655303955
6881280,0.2189419719820404,2.7954788242072697,-4.121488094329834
7208960,0.2188054213352007,2.8311143775421783,-4.189595699310303
7536640,0.2187199480720505,2.8319299496047305,-4.23920202255249
7864320,0.21885704855556634,2.777183325031919,-4.268673896789551
8192000,0.21895669142071836,2.85474393338105,-4.294669151306152
8519680,0.21912864928737782,2.8739802184932546,-4.3102593421936035
8847360,0.21924142579405276,2.8748668631380028,-4.3446478843688965
9175040,0.21951716775836191,2.856865579367168,-4.355391979217529
9502720,0.21970687906341424,2.8726409593748308,-4.371242523193359
9830400,0.22001318596293407,2.902522968164905,-4.377607822418213
