global_step,J_or_return,gain_or_actnorm,logstd
327680,0.2355304904978451,1.6928747799227424,-2.5941920280456543
655360,0.2382479533039784,2.136178222823023,-3.0703978538513184
983040,0.23808196082625774,2.173005361570656,-3.4880099296569824
1310720,0.2380956287631583,2.3816737518284197,-3.7752175331115723
1638400,0.2390364460439836,2.1317321594382266,-3.8362741470336914
1966080,0.24055978535804587,2.2011809811366314,-4.006814479827881
2293760,0.24142314233607456,2.2686034483524806,-4.147243976593018
2621440,0.24017991750129325,2.5592119522375087,-4.315253257751465
2949120,0.23976529536831834,2.668155429338837,-4.4863786697387695
3276800,0.24061216620901388,2.8811245764784417,-4.503852367401123
3604480,0.24091233040729013,2.861982097293568,-4.515868186950684
3932160,0.24028843631708247,2.7936308256168383,-4.512355804443359
4259840,0.24159972922676465,2.946967578681799,-4.579716205596924
4587520,0.24194667576392792,2.9049439165657414,-4.733016014099121
4915200,0.24133846573517118,2.945333824664423,-4.800724506378174
5242880,0.24219860452663153,2.78131863788186,-4.782833576202393
5570560,0.24212723965316474,2.650194118967915,-4.796648025512695
5898240,0.24227724789734376,2.887318310409491,-4.993192195892334
6225920,0.24315759175855892,2.7452294920736207,-5.015542507171631
6553600,0.24337828437849623,2.666768417749523,-5.1240668296813965
6881280,0.24400200500518865,2.682972048873184,-5.136360168457031
7208960,0.24484240390168274,2.6865193327867205,-5.195273399353027
7536640,0.24485472544223305,2.800272014404996,-5.19364595413208
7864320,0.2450470137240943,2.7738273852858857,-5.263081073760986
8192000,0.245587855947499,2.9435128170384637,-5.329618453979492
8519680,0.2449943691782581,2.9920088818764596,-5.380080223083496
8847360,0.24458757004244022,2.9592912943180965,-5.412652015686035
9175040,0.24487505592367484,2.961806307164078,-5.460488319396973
9502720,0.24453957476342025,2.9431245432110877,-5.477632999420166
9830400,0.24457161461191412,2.98400702079324,-5.506977558135986
