global_step,J_or_return,gain_or_actnorm,logstd
327680,0.23487812004292766,0.9286443287319781,-2.650373697280884
655360,0.2309049136276397,0.9426831764402243,-2.934353828430176
983040,0.22396691791698095,1.0955264825288313,-3.4178552627563477
1310720,0.2183542272647066,1.2959464139403507,-3.656853199005127
1638400,0.2178892653496456,1.3076694434165836,-3.776763439178467
1966080,0.22334922270782823,1.13483486491667,-3.9665417671203613
2293760,0.22372037531915112,1.142516752882234,-4.167018413543701
2621440,0.22609695279624403,1.1079223356405632,-4.341471195220947
2949120,0.22549352472446027,1.1334839343524319,-4.440267562866211
3276800,0.22228656288346088,1.272714620902764,-4.56032657623291
3604480,0.22387726583740333,1.2457327395101374,-4.592118263244629
3932160,0.22108241971259585,1.3013838252143808,-4.761371612548828
4259840,0.22221057812916148,1.2693694644018731,-4.740922927856445
4587520,0.22406337022718706,1.188418677354612,-4.6514177322387695
4915200,0.22355057376938148,1.1946989115024806,-4.689565181732178
5242880,0.22326169579659977,1.2345697976681387,-4.69918155670166
5570560,0.22243592936352405,1.2931996694264891,-4.7359442710876465
5898240,0.22153648844682935,1.3254158086078796,-4.749727725982666
6225920,0.22264075124270238,1.2917110433415273,-4.826492786407471
6553600,0.22379194002766378,1.2473104438251728,-4.917685031890869
6881280,0.22291270397416146,1.275029974083174,-5.025462627410889
7208960,0.22288640051051675,1.2887508382831268,-5.107663154602051
7536640,0.22212154296322245,1.2902749320879723,-5.1595940589904785
7864320,0.2220382556113329,1.314871617715526,-5.219138145446777
8192000,0.22178355169656172,1.3227824498260419,-5.316972255706787
8519680,0.22171702638579713,1.3345184596892083,-5.382423400878906
8847360,0.22184858350565664,1.3330904878892311,-5.414455890655518
9175040,0.2222333765569472,1.3242934830468815,-5.434655666351318
9502720,0.22226695039626407,1.3235455845525201,-5.464107990264893
9830400,0.2223776990684739,1.31820914149307,-5.482504367828369
