global_step,J_or_return,gain_or_actnorm,logstd
327680,0.24899373484612547,1.0568374873014887,-2.596588373184204
655360,0.2584882190837005,1.0750388505600654,-3.0383245944976807
983040,0.2615033182964934,1.093649825023193,-3.6163811683654785
1310720,0.2581046665419619,1.1017080489204458,-3.8536417484283447
1638400,0.2710858761616475,0.9387892960177645,-3.8905205726623535
1966080,0.2704074690856913,1.0173089342644765,-4.0229411125183105
2293760,0.2688770232676581,1.0026424525125623,-4.03975772857666
2621440,0.26202240348547157,0.9795512879726229,-4.224813461303711
2949120,0.27008391690825617,0.8865096840454452,-4.346977233886719
3276800,0.2702857017077882,1.0047998721864775,-4.56175422668457
3604480,0.2706562823890885,0.9450198327018335,-4.580867290496826
3932160,0.27347489125104,0.9315952427223773,-4.580804347991943
4259840,0.28290873741160455,0.9676482502880872,-4.657471656799316
4587520,0.2898570987032756,0.9224203237141841,-4.777145862579346
4915200,0.2887755459206073,0.9612677120389304,-4.845092296600342
5242880,0.29368553023132005,0.9664124442694472,-4.893417835235596
5570560,0.3002957944643181,0.9385832121954517,-4.956127643585205
5898240,0.3022946599409386,0.981719033497069,-5.154673099517822
6225920,0.30545834380093695,0.9863236785732961,-5.203012943267822
6553600,0.30424612535364814,0.9707568290636608,-5.35722017288208
6881280,0.3049557857294861,0.9758945169430016,-5.367196559906006
7208960,0.30923539651381793,0.9349459257712482,-5.449121952056885
7536640,0.30897015963444263,0.9585344398509732,-5.524041652679443
7864320,0.30943177141988515,0.9664761478755981,-5.599883079528809
8192000,0.30718113948345216,0.9843779195478806,-5.635012626647949
8519680,0.3071500620677821,0.9824813422363545,-5.69257116317749
8847360,0.3066254315699397,0.9567644187817024,-5.751999855041504
9175040,0.3065727768991262,0.9251108182464614,-5.79590368270874
9502720,0.3055206864023853,0.9192006137626545,-5.804261207580566
9830400,0.30491052200288193,0.922750357016653,-5.823322296142578
