global_step,J_or_return,gain_or_actnorm,logstd
327680,0.30431891696738145,12.753615199417457,-1.2039728164672852
655360,0.30610172780911904,18.595886983125652,-1.2039728164672852
983040,0.3103718948714533,19.115273365541295,-1.2039728164672852
1310720,0.307227366433243,16.404743504840454,-1.2039728164672852
1638400,0.30823297064527877,15.818613687439298,-1.2039728164672852
1966080,0.3099857524764344,9.925059146483228,-1.2039728164672852
2293760,0.3100912610929989,3.111444104345721,-1.2039728164672852
2621440,0.3126771431358292,2.517607633575994,-1.2039728164672852
2949120,0.3094146892113906,13.05121741156694,-1.2039728164672852
3276800,0.31027091275528357,5.735855586825747,-1.2039728164672852
3604480,0.31286254291487897,1.0639336936287025,-1.2039728164672852
3932160,0.3101539661903152,0.23660913533315603,-1.2039728164672852
4259840,0.31268668300260366,-0.10678974294316236,-1.2039728164672852
4587520,0.3137562544883647,0.3242106928081706,-1.2039728164672852
4915200,0.3157828654258483,-0.6429202939084578,-1.2039728164672852
5242880,0.31404524022204494,-0.3967291371367579,-1.2039728164672852
5570560,0.3142535863528631,-0.3900502828468367,-1.2039728164672852
5898240,0.3138749117424167,-0.644619351389673,-1.2039728164672852
6225920,0.3215741667744128,-0.6626752141226652,-1.2039728164672852
6553600,0.3226092791774403,-0.6860051670468843,-1.2039728164672852
6881280,0.3304749850060625,-0.6209205772463209,-1.2039728164672852
7208960,0.33959627877723314,-0.5783073860949622,-1.2039728164672852
7536640,0.3608010282653632,-0.5048988826568087,-1.2039728164672852
7864320,0.38555872516375567,-0.47133296891558196,-1.2039728164672852
8192000,0.41525849068203163,-0.4440572425590795,-1.2039728164672852
8519680,0.42037539909113675,-0.4414341294838978,-1.2039728164672852
8847360,0.44094796128364233,-0.429846593275772,-1.2039728164672852
9175040,0.46441607807052754,-0.4173050681672286,-1.2039728164672852
9502720,0.5104306027370736,-0.40224646798506025,-1.2039728164672852
9830400,0.5815142818638054,-0.3881759855664082,-1.2039728164672852
