global_step,J_or_return,gain_or_actnorm,logstd
327680,493.3017841272323,0.7832643651127815,-1.1926885843276978
655360,1362.5989646278442,1.3062897660732269,-1.6103118658065796
983040,1429.8119792635384,1.5075111912727357,-1.707893967628479
1310720,1661.9602993239878,1.4668869363784791,-1.7992383241653442
1638400,1619.0984849371616,1.4831697379589082,-1.894344449043274
1966080,1565.6452211156243,1.6228092589616776,-1.9239959716796875
2293760,1513.3461281456498,1.671096166086197,-1.8805886507034302
2621440,1468.4790372438044,1.3973422430276872,-1.8600740432739258
2949120,1663.045248646965,1.3554553947925567,-1.9174381494522095
3276800,1656.546914837562,1.450458434700966,-1.9629912376403809
3604480,1666.9344066713759,1.417395057940483,-2.039076089859009
3932160,1672.3099939305253,1.4816512294530868,-2.0772554874420166
4259840,1660.2606496978055,1.5389225816726684,-2.107462167739868
4587520,1692.3632294617892,1.5200178731441498,-2.050894260406494
4915200,1791.8678620594042,1.51665923306942,-2.0986452102661133
5242880,1879.7129605471605,1.5657915116548538,-2.1142711639404297
5570560,1855.9219891379955,1.5611055138587953,-2.154738187789917
5898240,1708.5525827619174,1.6270698709964753,-2.1808621883392334
6225920,1702.3944399169427,1.6943066831111908,-2.192474365234375
6553600,1641.1842039454382,1.7605710633516312,-2.217311382293701
6881280,1538.100242757328,1.7506441484451294,-2.240309000015259
7208960,1722.2491415357902,1.8220117710351944,-2.241856098175049
7536640,1399.3726418934373,1.7384382016658784,-2.2828481197357178
7864320,1753.6744563018601,1.7514509658813477,-2.3016417026519775
8192000,1749.1921580214234,1.7438074927091598,-2.2980573177337646
8519680,1749.0743280771198,1.798514647769928,-2.29938006401062
8847360,1770.489605110126,1.7475065912008285,-2.3168599605560303
9175040,1766.2468416916804,1.740628331899643,-2.3198161125183105
9502720,1774.8240365695244,1.7436227060317993,-2.3236942291259766
9830400,1827.46377252937,1.7368970205783845,-2.3291878700256348
