global_step,J_or_return,gain_or_actnorm,logstd
327680,1091.279841945472,1.1181195868730545,-1.8883099555969238
655360,802.8697875884498,1.4768919535636902,-2.1862332820892334
983040,952.3245901049104,1.3447687510967254,-2.314697265625
1310720,1214.9851119605023,1.378383385169506,-2.288133144378662
1638400,1464.611148409043,1.3049230353057384,-2.265526294708252
1966080,1630.4666803731163,1.4384180073618889,-2.2192280292510986
2293760,1615.960014722979,1.5239745763301848,-2.1590535640716553
2621440,1864.277028415542,1.50025404150486,-2.0755836963653564
2949120,1748.8262271153071,1.5078655551671982,-2.0638065338134766
3276800,1955.2098138433532,1.6987007887601853,-2.0667660236358643
3604480,1986.94792220382,1.661102793431282,-2.082777738571167
3932160,2151.8982817534734,1.9027836474180222,-2.087590217590332
4259840,2092.151594386818,1.8687030956268311,-2.0331573486328125
4587520,2075.9439290400855,1.8307395678043366,-1.9887443780899048
4915200,2051.6844431047507,1.7024242892742156,-1.9855197668075562
5242880,2265.9562831746625,1.6979178987979888,-1.9961639642715454
5570560,2250.272304959262,1.6936865524291993,-2.0100748538970947
5898240,2125.172109437853,1.7666924314975738,-1.9856148958206177
6225920,2131.786399098079,1.832865298652649,-1.947707176208496
6553600,2202.979128736,1.8829466661930083,-1.933289885520935
6881280,2154.729768339142,1.888712698173523,-1.9338451623916626
7208960,2252.785362481004,1.8679223549365997,-1.9205058813095093
7536640,2123.50135511777,1.8092975872516632,-1.9302858114242554
7864320,2222.308261024847,1.771279878473282,-1.948835015296936
8192000,2215.5115587078944,1.8733431305885315,-1.9487113952636719
8519680,2189.16594889041,1.8293588435649872,-1.9441701173782349
8847360,2329.9954017181835,1.809405055141449,-1.9606748819351196
9175040,2234.782975252232,1.879275905227661,-1.96035897731781
9502720,2294.31714574412,1.7646904466152191,-1.958635926246643
9830400,2388.6025421145205,1.7778269345283508,-1.9651762247085571
