global_step,J_or_return,gain_or_actnorm,logstd
327680,0.24693847060163482,2.2060048292882355,-2.301975727081299
655360,0.26249106733753264,1.9288642799110907,-2.4944040775299072
983040,0.24083442946189113,2.2443905150506502,-2.938767671585083
1310720,0.24517212923271853,3.00805841474587,-3.0275022983551025
1638400,0.24943724651262733,3.092892284410591,-3.0706448554992676
1966080,0.2556747464724048,4.327467984583483,-3.1061618328094482
2293760,0.25096163943022454,2.8386455662767864,-3.2988173961639404
2621440,0.2518793462240769,3.2269353080075973,-3.311413288116455
2949120,0.2553164559464463,3.8554902715371107,-3.3758046627044678
3276800,0.2573967784117704,4.1277297708144545,-3.2681968212127686
3604480,0.2605008716389711,4.682636018565691,-3.321967840194702
3932160,0.26103949730272735,4.394255272506762,-3.3485732078552246
4259840,0.2660985155664221,4.25835668810297,-3.52878475189209
4587520,0.27053167953927804,4.205808426448572,-3.5272977352142334
4915200,0.2663493191676168,3.0787232479654563,-3.5084071159362793
5242880,0.2655652104993361,2.7134092038507056,-3.545057535171509
5570560,0.2710370784497357,2.368695043956413,-3.542179584503174
5898240,0.2739028334934313,2.685693277899844,-3.6067566871643066
6225920,0.27566405409160855,3.589141048636778,-3.5805487632751465
6553600,0.27689340534047474,5.134744733061084,-3.656848669052124
6881280,0.28067996516635657,6.077115114171528,-3.710310459136963
7208960,0.28381037809801624,6.010910476709464,-3.759979724884033
7536640,0.28690758408966044,5.988547620984608,-3.750197172164917
7864320,0.28704289311771625,6.681704712312882,-3.751024007797241
8192000,0.2898604676065981,6.798778823710183,-3.819324493408203
8519680,0.29083355178368947,7.371693328860706,-3.848623275756836
8847360,0.29176982710477894,7.4412572342876,-3.9061279296875
9175040,0.2948327272630557,7.804582859895138,-3.9518399238586426
9502720,0.2969493338007487,8.286040787821069,-3.9819836616516113
9830400,0.29902802158379477,8.808211072728302,-3.994899034500122
