global_step,J_or_return,gain_or_actnorm,logstd
327680,1212.3557350605438,1.2778273146867751,-1.8308273553848267
655360,2001.523011559056,1.4119163505077361,-1.9170433282852173
983040,2200.736828680581,1.4651508835792542,-1.918688416481018
1310720,2194.627412501238,1.4771750519752502,-1.967281699180603
1638400,2211.5555269224533,1.6773598507881164,-1.8940092325210571
1966080,2049.1162549186483,1.669414404773712,-1.8520636558532715
2293760,2278.1132212200555,1.9226458510398865,-1.8470802307128906
2621440,2233.879805192678,1.8768097700119017,-1.7919727563858032
2949120,2285.3508511257437,1.822855096912384,-1.795088768005371
3276800,2271.345826192749,1.9112977226257324,-1.8029227256774902
3604480,2210.032042636025,1.9493227128982544,-1.7527775764465332
3932160,2273.5614171507805,1.9350333381652831,-1.725852370262146
4259840,1832.6822448417945,2.0325731755256653,-1.7577251195907593
4587520,2192.5459894133746,1.9951334548950195,-1.7394572496414185
4915200,2075.08622147627,1.9222489780426026,-1.6839985847473145
5242880,2237.057505774492,1.9298313605308532,-1.6554352045059204
5570560,2221.7097698012853,1.8753632165908813,-1.662183165550232
5898240,2163.8042427286523,1.9703047323226928,-1.6658645868301392
6225920,2149.7431686229384,1.8714520089149476,-1.6185041666030884
6553600,2151.857847201004,1.9537093663215637,-1.6060415506362915
6881280,2201.4320917434356,1.951381132698059,-1.6056164503097534
7208960,2217.2631031055794,1.9866164978027343,-1.6192291975021362
7536640,2231.1051085879035,2.0133122034072874,-1.6844576597213745
7864320,2231.8282447961756,1.9127145433425903,-1.686135172843933
8192000,2301.461752531656,1.9595334678649903,-1.674086570739746
8519680,2356.825424331292,2.02848193359375,-1.6943254470825195
8847360,2327.9853390470926,2.0267374329566956,-1.7104188203811646
9175040,2389.135962726386,2.0998079963684084,-1.7252589464187622
9502720,2240.350458011691,2.1325841960906984,-1.7294082641601562
9830400,2358.6699416917563,2.1033828634262086,-1.7371214628219604
